id,product_id,sku,price,stock,size,color,name,stock_quantity,created_at
"06cab066-8cef-4f06-ac6b-9fe86f59cad6","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-LBL","150","100","","Light Blue","Light Blue","100","2026-07-24T19:08:32.556Z"
"c1eb98ab-089a-42e6-98a5-9b5e18a1aa1c","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-LGR","150","100","","Lime Green","Lime Green","100","2026-07-24T19:08:32.556Z"
"f9323e17-8c35-4536-8761-312fe358c97a","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-PRP","150","100","","Purple","Purple","100","2026-07-24T19:08:32.556Z"
"daaeeb6d-558e-4696-aab6-a56507a67169","c09f6f44-c922-438a-a0bc-c7c9d3394d21","MNB-AF-001-10P","10","100","Pack of 10","","Pack of 10","100","2026-07-24T19:08:32.556Z"
"84f8ded2-0576-48b3-a709-1006d7f6dc80","c09f6f44-c922-438a-a0bc-c7c9d3394d21","MNB-AF-001-100P","95","100","Pack of 100","","Pack of 100","100","2026-07-24T19:08:32.556Z"
"e4dfdeb1-4745-426d-a29e-7b9469f68a74","bb6e65dd-6893-4ee9-ae1e-d8e8f8d0f9bf","MNB-BD-001-100G","40","100","100 grams","","100 grams","100","2026-07-24T19:08:32.556Z"
"e0763d1c-fedc-4a03-b381-62655d822433","bb6e65dd-6893-4ee9-ae1e-d8e8f8d0f9bf","MNB-BD-001-250G","100","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"d4cac632-1e3e-4e47-9253-68de609feeba","c9898aad-bd1b-44e6-9f9e-5a1bb8e31945","MNB-BD-002-100G","40","100","100 grams","","100 grams","100","2026-07-24T19:08:32.556Z"
"83a087ed-dab4-4570-bd49-c2843a25e844","c9898aad-bd1b-44e6-9f9e-5a1bb8e31945","MNB-BD-002-250G","100","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"0e76954f-1b88-496c-b2b7-823275ac9103","ee22c2bd-1925-4e49-aa45-c81a208f5127","MNB-AF-002-RED","80","100","","Red","Red","100","2026-07-24T19:08:32.556Z"
"9dd28455-5b47-4955-a0e4-fa722219a1bf","ee22c2bd-1925-4e49-aa45-c81a208f5127","MNB-AF-002-YEL","80","100","","Yellow","Yellow","100","2026-07-24T19:08:32.556Z"
"74e22beb-db9e-45f6-ad46-13139fb995ed","ee22c2bd-1925-4e49-aa45-c81a208f5127","MNB-AF-002-WHT","80","100","","White","White","100","2026-07-24T19:08:32.556Z"
"80c029dd-b363-4e6a-aa2f-be36233e97c6","ee22c2bd-1925-4e49-aa45-c81a208f5127","MNB-AF-002-PNK","80","100","","Pink","Pink","100","2026-07-24T19:08:32.556Z"
"f01eb7b8-3af6-45f7-a515-f2664a4386ad","e961b905-74c0-414d-8b46-37ab1d6e6ba5","MNB-PF-001-250G","200","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"11ed893a-d3bf-43f0-8035-5101f2badcc7","e961b905-74c0-414d-8b46-37ab1d6e6ba5","MNB-PF-001-500G","400","100","500 grams","","500 grams","100","2026-07-24T19:08:32.556Z"
"5117a3a4-6d76-4a48-b0dd-fe1738e1fb09","e961b905-74c0-414d-8b46-37ab1d6e6ba5","MNB-PF-001-1KG","800","100","1kg","","1kg","100","2026-07-24T19:08:32.556Z"
"5678a943-551c-4675-99bd-bbe738cb1f85","9ea93086-e56c-40f3-8480-f03558fa91e1","MNB-PF-002-250G","200","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"06a49446-23cf-4c77-b1df-0e904c272b67","9ea93086-e56c-40f3-8480-f03558fa91e1","MNB-PF-002-500G","400","100","500 grams","","500 grams","100","2026-07-24T19:08:32.556Z"
"4671de2e-1e13-4495-b4c3-6d342b3fda3e","9ea93086-e56c-40f3-8480-f03558fa91e1","MNB-PF-002-1KG","800","100","1kg","","1kg","100","2026-07-24T19:08:32.556Z"
"7f59fcf2-ffbe-4e44-8a90-8f6c82ebf243","838dc544-8dc4-479a-94f8-ec6feb21c1c3","MNB-PF-003-250G","200","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"64e92e47-b537-434e-bb88-610fcb1c8ed1","838dc544-8dc4-479a-94f8-ec6feb21c1c3","MNB-PF-003-500G","400","100","500 grams","","500 grams","100","2026-07-24T19:08:32.556Z"
"a5aae45e-8b37-49de-86e2-722f2dbf1c83","838dc544-8dc4-479a-94f8-ec6feb21c1c3","MNB-PF-003-1KG","800","100","1kg","","1kg","100","2026-07-24T19:08:32.556Z"
"622b48da-1ee2-4332-898f-3ce77c18056d","21fcaeb1-9190-4230-bcb1-44652b1da9eb","MNB-PF-004-250G","200","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"5710c572-a0cb-4f02-b1ab-c2dc75f67ce5","21fcaeb1-9190-4230-bcb1-44652b1da9eb","MNB-PF-004-500G","400","100","500 grams","","500 grams","100","2026-07-24T19:08:32.556Z"
"db29e118-de5c-4d5d-9bbb-c73a92c193c2","21fcaeb1-9190-4230-bcb1-44652b1da9eb","MNB-PF-004-1KG","800","100","1kg","","1kg","100","2026-07-24T19:08:32.556Z"
"0083fb51-9b73-4358-8632-b02b74d342e4","8d132ffa-3746-4416-a86a-d514d9183bd2","MNB-PF-005-250G","200","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"f6e32407-a304-42a0-8e48-fde79cbb3871","8d132ffa-3746-4416-a86a-d514d9183bd2","MNB-PF-005-500G","400","100","500 grams","","500 grams","100","2026-07-24T19:08:32.556Z"
"dfbca886-4049-4847-8768-be08aa4a5d9a","8d132ffa-3746-4416-a86a-d514d9183bd2","MNB-PF-005-1KG","800","100","1kg","","1kg","100","2026-07-24T19:08:32.556Z"
"608eb1a4-bad8-4557-8f86-e4facbb17d2e","965bcc54-3288-417c-99a5-0444e05066b9","MNB-PF-006-250G","200","100","250 grams","","250 grams","100","2026-07-24T19:08:32.556Z"
"b94f9670-293d-4d22-82ca-bdc8e49eb649","965bcc54-3288-417c-99a5-0444e05066b9","MNB-PF-006-500G","400","100","500 grams","","500 grams","100","2026-07-24T19:08:32.556Z"
"c8a9c4e4-e126-448b-8c34-f4434749ae84","965bcc54-3288-417c-99a5-0444e05066b9","MNB-PF-006-1KG","800","100","1kg","","1kg","100","2026-07-24T19:08:32.556Z"
